1, 34, 62, 28, 41
2, 51, 29, 53, 44
3, 54, 56, 60, 56
4, 43, 51, 48, 47
5, 43, 28, 47, 39
6, 44, 38, 48, 43
7, 56, 37, 52, 48
8, 32, 44, 54, 43
9, 39, 26, 28, 31
10, 28, 54, 46, 42
11, 41, 62, 46, 49
12, 20, 44, 50, 38
13, 54, 51, 24, 43
14, 49, 26, 28, 34
15, 53, 46, 23, 40
16, 56, 28, 63, 49
17, 60, 32, 23, 38
18, 48, 46, 54, 49
19, 41, 21, 37, 33
20, 68, 39, 42, 49
21, 47, 55, 54, 52
22, 27, 34, 52, 37
23, 34, 29, 39, 34
24, 39, 54, 65, 52
25, 64, 39, 40, 47
26, 20, 38, 34, 30
27, 44, 58, 66, 56
28, 64, 62, 56, 60
29, 52, 46, 41, 46
30, 25, 56, 48, 43
31, 46, 59, 49, 51
32, 53, 48, 51, 50
33, 61, 34, 65, 53
34, 39, 54, 36, 43
35, 35, 47, 40, 40
36, 30, 22, 34, 28
37, 61, 45, 22, 42
38, 41, 37, 56, 44
39, 50, 67, 65, 60
40, 25, 48, 23, 32
41, 31, 68, 28, 42
42, 56, 68, 40, 54
43, 64, 34, 35, 44
44, 43, 43, 66, 50
45, 52, 54, 48, 51
46, 29, 50, 30, 36
47, 60, 40, 33, 44
48, 61, 37, 54, 50
49, 33, 64, 41, 46
50, 30, 29, 49, 36
51, 51, 48, 35, 44
52, 41, 66, 51, 52
53, 35, 43, 66, 48
54, 47, 41, 22, 36
55, 68, 46, 55, 56
56, 48, 30, 51, 43
57, 57, 62, 65, 61
58, 48, 36, 23, 35
59, 40, 40, 34, 38
60, 34, 52, 24, 36
61, 40, 25, 45, 36
62, 49, 41, 30, 40
63, 40, 34, 59, 44
64, 37, 67, 61, 55
65, 55, 32, 49, 45
66, 25, 51, 65, 47
67, 53, 40, 49, 47
68, 31, 66, 51, 49
69, 52, 50, 40, 47
70, 66, 42, 33, 47
71, 47, 20, 54, 40
72, 47, 34, 26, 35
73, 55, 34, 52, 47
74, 50, 37, 56, 47
75, 24, 60, 39, 41
76, 51, 52, 45, 49
77, 29, 42, 43, 38
78, 35, 45, 43, 41
79, 43, 34, 31, 36
80, 56, 47, 30, 44
81, 25, 52, 45, 40
82, 40, 32, 63, 45
83, 44, 28, 49, 40
84, 31, 62, 24, 39
85, 44, 68, 55, 55
86, 57, 60, 23, 46
87, 40, 64, 21, 41
88, 39, 64, 24, 42
89, 36, 34, 59, 43
90, 46, 34, 25, 35
91, 33, 55, 59, 49
92, 52, 56, 51, 53
93, 50, 62, 31, 47
94, 55, 34, 61, 50
95, 59, 68, 48, 58
96, 30, 30, 67, 42
97, 32, 54, 41, 42
98, 51, 67, 48, 55
99, 55, 59, 49, 54
100, 29, 25, 65, 39
101, 34, 30, 35, 33
