1, 10, 36, 9
2, 34, 7, 37
3, 37, 32, 45
4, 19, 27, 31
5, 20, 6, 29
6, 22, 14, 30
7, 40, 13, 35
8, 8, 20, 39
9, 14, 5, 8
10, 4, 29, 28
11, 17, 36, 27
12, 0, 20, 33
13, 37, 27, 4
14, 31, 5, 9
15, 36, 22, 2
16, 40, 6, 47
17, 44, 9, 2
18, 28, 22, 38
19, 17, 1, 17
20, 50, 15, 22
21, 27, 31, 38
22, 3, 11, 35
23, 10, 7, 19
24, 14, 29, 48
25, 48, 15, 20
26, 0, 14, 14
27, 21, 33, 49
28, 48, 36, 41
29, 35, 22, 21
30, 2, 32, 31
31, 24, 34, 32
32, 36, 24, 34
33, 46, 11, 48
34, 14, 29, 16
35, 11, 23, 20
36, 6, 2, 14
37, 45, 21, 1
38, 17, 13, 41
39, 32, 39, 48
40, 2, 24, 2
41, 7, 40, 9
42, 40, 40, 20
43, 48, 11, 15
44, 19, 19, 49
45, 35, 29, 30
46, 5, 26, 11
47, 44, 16, 13
48, 45, 13, 38
49, 9, 37, 21
50, 6, 7, 32
51, 34, 24, 15
52, 17, 38, 34
53, 11, 19, 49
54, 26, 17, 1
55, 50, 22, 40
56, 29, 8, 34
57, 41, 36, 48
58, 28, 12, 2
59, 15, 16, 14
60, 10, 28, 4
61, 16, 4, 26
62, 31, 17, 11
63, 15, 10, 44
64, 13, 39, 46
65, 39, 9, 32
66, 2, 27, 48
67, 36, 16, 32
68, 7, 38, 34
69, 35, 26, 20
70, 49, 18, 13
71, 27, 0, 39
72, 27, 10, 6
73, 38, 11, 36
74, 32, 13, 41
75, 1, 35, 19
76, 33, 28, 26
77, 5, 18, 24
78, 11, 21, 23
79, 19, 11, 12
80, 40, 23, 11
81, 2, 28, 26
82, 15, 9, 47
83, 22, 6, 32
84, 7, 36, 4
85, 22, 40, 40
86, 41, 35, 2
87, 16, 37, 0
88, 14, 37, 4
89, 12, 11, 44
90, 24, 11, 5
91, 9, 31, 44
92, 35, 32, 34
93, 32, 36, 12
94, 38, 10, 46
95, 43, 40, 31
96, 6, 8, 50
97, 8, 30, 21
98, 33, 39, 30
99, 38, 34, 32
100, 5, 4, 48
101, 10, 8, 15
102, 3, 8, 22
103, 12, 13, 1
104, 24, 34, 11
105, 19, 5, 18
106, 0, 2, 14
107, 24, 15, 27
108, 45, 23, 3
109, 49, 5, 41
110, 4, 14, 2
111, 1, 34, 47
112, 41, 13, 0
113, 38, 2, 36
114, 13, 9, 34
115, 49, 28, 23
116, 16, 20, 44
117, 31, 19, 23
118, 32, 25, 9
119, 35, 36, 7
120, 26, 18, 35
121, 2, 29, 48
122, 23, 16, 12
123, 24, 13, 15
124, 34, 17, 40
125, 17, 2, 9
126, 41, 3, 28
127, 34, 34, 20
128, 31, 4, 7
129, 14, 35, 17
130, 46, 40, 5
131, 30, 23, 46
132, 1, 40, 26
133, 14, 12, 18
134, 3, 40, 49
135, 43, 33, 27
136, 27, 40, 21
137, 4, 22, 21
138, 25, 37, 2
139, 6, 26, 43
140, 48, 37, 9
141, 2, 2, 27
142, 23, 37, 43
143, 49, 33, 6
144, 41, 38, 4
145, 39, 16, 44
146, 40, 2, 23
147, 36, 12, 10
148, 6, 29, 3
149, 33, 36, 11
150, 25, 30, 14
151, 34, 31, 47
152, 36, 26, 31
153, 2, 33, 3
154, 9, 27, 29
155, 38, 26, 22
156, 5, 32, 41
157, 28, 8, 39
158, 12, 32, 11
159, 16, 26, 14
160, 1, 29, 40
161, 15, 38, 43
162, 11, 40, 42
163, 17, 30, 15
164, 20, 25, 3
165, 24, 22, 30
166, 20, 17, 21
167, 35, 9, 23
168, 24, 19, 30
169, 9, 5, 45
170, 24, 35, 9
171, 38, 25, 32
172, 30, 20, 40
173, 22, 15, 50
174, 11, 6, 44
175, 14, 30, 49
176, 18, 22, 9
177, 40, 27, 21
178, 37, 19, 46
179, 17, 25, 36
180, 36, 2, 1
181, 19, 19, 32
182, 25, 29, 49
183, 14, 16, 6
184, 39, 16, 34
185, 6, 15, 35
186, 29, 39, 30
187, 12, 2, 10
188, 34, 35, 13
189, 29, 3, 0
190, 40, 20, 11
191, 15, 33, 35
192, 48, 37, 12
193, 46, 33, 11
194, 26, 13, 46
195, 10, 40, 18
196, 19, 19, 33
197, 24, 8, 38
198, 34, 17, 3
199, 21, 28, 10
200, 22, 4, 27
201, 7, 25, 13
202, 16, 35, 25
203, 28, 14, 25
204, 13, 18, 13
205, 33, 17, 32
206, 25, 0, 3
207, 8, 29, 13
208, 20, 13, 31
209, 48, 10, 2
210, 32, 9, 38
211, 8, 10, 13
212, 22, 37, 10
213, 21, 35, 2
214, 46, 24, 46
215, 33, 18, 48
